timestamp,node_id,channel_type,message_type,bit_sequence,timing_delay,lsb_encoded_value,payload_size,protocol_used,throughput_bps,error_rate
39.582270645,12,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
41.641338499,3,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
42.417972659,12,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
44.525937675,3,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
46.238821536,12,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
46.937691464,8,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
47.724073797,12,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
48.081556229,3,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
49.589142665,3,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
49.958324334,8,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
50.431763673,12,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
52.539685403,3,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
53.334505484,8,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
54.618283766,12,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
54.861251114,8,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
55.796605553,12,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
56.559847195,3,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
57.643839326,3,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
57.871632766,8,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
58.413948807,12,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
